"PVWatts: Hourly PV Performance Data"
"Requested Location:","jakarta"
"Location:","SINGAPORE, SINGAPORE"
"Lat (deg N):","1.37"
"Long (deg E):","103.98"
"Elev (m):","16"
"DC System Size (kW):","1"
"Module Type:","Standard"
"Array Type:","Fixed (open rack)"
"Array Tilt (deg):","20"
"Array Azimuth (deg):","180"
"System Losses:","14"
"Invert Efficiency:","96"
"DC to AC Size Ratio:","1.1"
"Average Cost of Electricity Purchased from Utility ($/kWh):","No utility data available"
"Initial Cost","3.30"
"Cost of Electricity Generated by System ($/kWh):","not determined"

"Month","Day","Hour","Beam Irradiance (W/m^2)","Diffuse Irradiance (W/m^2)","Ambient Temperature (C)","Wind Speed (m/s)","Plane of Array Irradiance (W/m^2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"3","11","21","0","0","27","3.1","0","27","0","0"
"3","11","22","0","0","27","2.6","0","27","0","0"
"3","11","23","0","0","27","2.6","0","27","0","0"
"3","12","0","0","0","26.7","1.8","0","26.7","0","0"
"3","12","1","0","0","26.5","1","0","26.5","0","0"
"3","12","2","0","0","26.3","0.8","0","26.3","0","0"
"3","12","3","0","0","26","0.7","0","26","0","0"
"3","12","4","0","0","25.8","0.5","0","25.8","0","0"
"3","12","5","0","0","26","0.5","0","26","0","0"
"3","12","6","0","0","26","0.5","0","26","0","0"
"3","12","7","0","6","26","0.5","5.672","23.814","4.906","0"
"3","12","8","0","57","27","1","54.11","26.801","46.14","39.709"
"3","12","9","0","125","28","1.5","119.074","29.958","100.017","92.482"
"3","12","10","2","185","29","1.5","178.12","32.922","147.468","138.879"
"3","12","11","5","227","30","1.5","221.547","35.39","181.219","171.834"
"3","12","12","6","252","31","1.5","247.268","37.287","200.368","190.514"
"3","12","13","302","395","31.3","1.5","686.417","49.503","522.283","502.675"
"3","12","14","88","461","30","3.6","529.987","41.88","419.569","403.458"
"3","12","15","27","328","30","4.1","340.244","37.108","275.875","264.05"
"3","12","16","0","157","25.2","4.1","149.738","27.826","127.065","118.939"
"3","12","17","5","148","25","2.1","143.5","27.652","121.722","113.715"
"3","12","18","0","55","26","1","52.387","26.398","44.757","38.352"
"3","12","19","0","1","25.4","0","0.97","22.777","0.843","0"
"3","12","20","0","0","26","0.5","0","26","0","0"
"3","12","21","0","0","26","0","0","26","0","0"
"3","12","22","0","0","25.9","0","0","25.9","0","0"
"3","12","23","0","0","26","0","0","26","0","0"
"3","13","0","0","0","25.8","0","0","25.8","0","0"
"3","13","1","0","0","25.7","0","0","25.7","0","0"
"3","13","2","0","0","25.6","0.3","0","25.6","0","0"
"3","13","3","0","0","25.4","0.7","0","25.4","0","0"
"3","13","4","0","0","25.3","1","0","25.3","0","0"
"3","13","5","0","0","25","0","0","25","0","0"
"3","13","6","0","0","25","0","0","25","0","0"
"3","13","7","0","15","25.1","0","14.203","22.404","12.364","6.573"
"3","13","8","67","129","27","1.5","147.018","29.576","120.897","112.908"
"3","13","9","123","262","29","3.1","325.06","35.609","263.436","251.95"
"3","13","10","108","411","29.2","3.6","479.162","39.238","383.892","368.91"
"3","13","11","118","507","31","5.1","596.836","42.174","471.684","453.844"
"3","13","12","209","478","31","4.6","669.304","44.488","522.818","503.191"
"3","13","13","212","487","32","4.6","684.453","45.926","530.698","510.789"
"3","13","14","313","443","31","4.1","726.725","46.386","561.951","540.898"
"3","13","15","387","366","32","4.1","675.606","46.414","521.383","501.808"
"3","13","16","466","236","31","4.6","538.215","42.007","420.929","404.773"
"3","13","17","430","137","30","6.2","326.961","35.394","254.898","243.641"
"3","13","18","117","71","28","5.1","93.396","29.242","72.493","65.534"
"3","13","19","0","2","27.2","3.6","1.94","26.147","1.659","0"
"3","13","20","0","0","27","2.6","0","27","0","0"
"3","13","21","0","0","26","2.6","0","26","0","0"
"3","13","22","0","0","26.5","1","0","26.5","0","0"
"3","13","23","0","0","26","0","0","26","0","0"
"3","14","0","0","0","26","0","0","26","0","0"
"3","14","1","0","0","25.9","1","0","25.9","0","0"
"3","14","2","0","0","25.9","0.7","0","25.9","0","0"
"3","14","3","0","0","26","0.5","0","26","0","0"
"3","14","4","0","0","25.4","0","0","25.4","0","0"
"3","14","5","0","0","25","0","0","25","0","0"
"3","14","6","0","0","25","1","0","25","0","0"
"3","14","7","0","15","25.6","1","14.203","24.026","12.27","6.482"
"3","14","8","67","130","27","2.6","147.793","29.25","121.731","113.724"
"3","14","9","125","263","28","2.6","326.698","35.005","265.518","253.975"
"3","14","10","108","412","30","4.1","479.634","39.632","383.503","368.534"
"3","14","11","118","508","31","3.6","597.2","43.898","467.809","450.1"
"3","14","12","210","478","31","4.1","669.399","45.055","521.353","501.779"
"3","14","13","209","488","31.6","4.1","681.584","46.034","528.173","508.355"
"3","14","14","209","455","32","4.1","638.049","45.565","495.537","476.875"
"3","14","15","117","458","31","4.6","539.106","41.96","426.306","409.976"
"3","14","16","103","344","30","5.1","399.509","37.493","322.268","309.137"
"3","14","17","90","213","29","4.1","245.232","33.842","199.457","189.626"
"3","14","18","29","68","28","4.1","71.455","28.813","58.801","52.119"
"3","14","19","0","2","27.2","4.1","1.94","26.142","1.659","0"
"3","14","20","0","0","27","3.6","0","27","0","0"
"3","14","21","0","0","27","3.6","0","27","0","0"
"3","14","22","0","0","26.4","3.1","0","26.4","0","0"
"3","14","23","0","0","26","3.1","0","26","0","0"
"3","15","0","0","0","26","3.1","0","26","0","0"
"3","15","1","0","0","26.1","3.1","0","26.1","0","0"
"3","15","2","0","0","25.9","2.6","0","25.9","0","0"
"3","15","3","0","0","25.7","2","0","25.7","0","0"
"3","15","4","0","0","25.5","1.5","0","25.5","0","0"
"3","15","5","0","0","25","2.1","0","25","0","0"
"3","15","6","0","0","25","1","0","25","0","0"
"3","15","7","0","20","26","1","18.953","24.599","16.331","10.467"
"3","15","8","218","129","28","2.6","200.049","31.575","157.59","148.766"
"3","15","9","390","218","30","2.1","430.97","40.281","337.201","323.633"
"3","15","10","510","262","30","2.1","639.639","46.117","492.656","474.094"
"3","15","11","527","330","31","1.5","791.294","53.175","589.674","567.578"
"3","15","12","545","359","32","3.1","878.121","52.36","657.901","633.127"
"3","15","13","542","373","32.1","3.1","896.487","53.038","669.269","644.033"
"3","15","14","624","304","33","3.1","876.376","53.521","652.209","627.665"
"3","15","15","685","217","32","3.6","771.778","49.375","585.565","563.625"
"3","15","16","656","165","31.9","3.6","588.172","45.191","450.753","433.618"
"3","15","17","570","104","30","5.1","353.062","36.682","270.047","258.382"
"3","15","18","0","24","29","5.1","22.736","28.943","19.191","13.273"
"3","15","19","0","1","27.5","2.6","0.97","26.137","0.83","0"
"3","15","20","0","0","27","2.6","0","27","0","0"
"3","15","21","0","0","27","2.6","0","27","0","0"
"3","15","22","0","0","27","2","0","27","0","0"
"3","15","23","0","0","27","1.5","0","27","0","0"
"3","16","0","0","0","27","2.1","0","27","0","0"
"3","16","1","0","0","26.9","1","0","26.9","0","0"
"3","16","2","0","0","26","0","0","26","0","0"
"3","16","3","0","0","26","0.5","0","26","0","0"
"3","16","4","0","0","26.1","1","0","26.1","0","0"
"3","16","5","0","0","26","0.5","0","26","0","0"
"3","16","6","0","0","26","0","0","26","0","0"
"3","16","7","0","16","26","1","15.152","24.471","13.063","7.26"
"3","16","8","69","131","27","1.8","149.011","29.521","122.498","114.474"
"3","16","9","123","264","28","2.6","325.689","34.984","264.731","253.21"
"3","16","10","107","413","29.7","2.1","478.852","41.544","379.177","364.342"
"3","16","11","117","508","31","2.6","595.081","45.232","462.935","445.392"
"3","16","12","208","478","31","3.1","665.755","46.306","515.143","495.79"
"3","16","13","209","488","31.5","3.6","679.654","46.523","525.328","505.611"
"3","16","14","446","432","32","3.1","835.491","51.197","629.717","606.069"
"3","16","15","670","248","32","4.1","787.549","48.886","599.12","576.662"
"3","16","16","752","124","31.7","4.6","605.738","44.258","465.496","447.866"
"3","16","17","547","114","30","3.1","351.175","38.282","266.868","255.289"
"3","16","18","145","69","29","3.1","96.425","30.803","72.971","66.002"
"3","16","19","0","2","28.1","2.6","1.94","26.987","1.653","0"
"3","16","20","0","0","28","2.6","0","28","0","0"
"3","16","21","0","0","28","1.5","0","28","0","0"
"3","16","22","0","0","27.3","2.1","0","27.3","0","0"
"3","16","23","0","0","27","1","0","27","0","0"
"3","17","0","0","0","27","0","0","27","0","0"
"3","17","1","0","0","26.7","0","0","26.7","0","0"
"3","17","2","0","0","26","0","0","26","0","0"
"3","17","3","0","0","27","0","0","27","0","0"
"3","17","4","0","0","26.6","0","0","26.6","0","0"
"3","17","5","0","0","27","0","0","27","0","0"
"3","17","6","0","0","26","0.5","0","26","0","0"
"3","17","7","0","16","26.6","0","15.152","24.1","13.086","7.282"
"3","17","8","69","132","28","0","149.777","32.041","121.645","113.639"
"3","17","9","124","265","28","1","326.762","37.037","262.892","251.42"
"3","17","10","107","414","28","2.1","479.312","39.86","382.792","367.844"
"3","17","11","116","508","29","1.5","593.583","45.569","460.959","443.482"
"3","17","12","205","479","31","2.6","663","47.089","510.91","491.707"
"3","17","13","207","488","32","3.6","676.751","46.952","521.907","502.313"
"3","17","14","207","454","32","4.1","632.335","45.439","491.4","472.882"
"3","17","15","116","457","33","3.6","535.163","44.881","416.847","400.823"
"3","17","16","101","342","30.5","2.6","394.422","40.155","313.886","300.996"
"3","17","17","98","191","29","0","225.653","39.281","178.098","168.789"
"3","17","18","0","63","29","2.6","59.989","29.714","50.447","43.931"
"3","17","19","0","1","28.7","2.6","0.97","27.484","0.824","0"
"3","17","20","0","0","28","1.5","0","28","0","0"
"3","17","21","0","0","28","1","0","28","0","0"
"3","17","22","0","0","28","0","0","28","0","0"
"3","17","23","0","0","28","0","0","28","0","0"
