"PVWatts: Hourly PV Performance Data"
"Requested Location:","cairo"
"Location:","CAIRO, EGYPT"
"Lat (deg N):","30.13"
"Long (deg E):","31.4"
"Elev (m):","74"
"DC System Size (kW):","1"
"Module Type:","Standard"
"Array Type:","Fixed (open rack)"
"Array Tilt (deg):","20"
"Array Azimuth (deg):","180"
"System Losses:","14"
"Invert Efficiency:","96"
"DC to AC Size Ratio:","1.1"
"Average Cost of Electricity Purchased from Utility ($/kWh):","No utility data available"
"Initial Cost","3.30"
"Cost of Electricity Generated by System ($/kWh):","not determined"

"Month","Day","Hour","Beam Irradiance (W/m^2)","Diffuse Irradiance (W/m^2)","Ambient Temperature (C)","Wind Speed (m/s)","Plane of Array Irradiance (W/m^2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"3","20","5","0","0","13.5","3.1","0","13.5","0","0"
"3","20","6","0","32","14.1","3.1","30.444","13.11","27.645","21.569"
"3","20","7","265","112","14.6","3.1","214.113","18.146","179.65","170.303"
"3","20","8","326","207","16","3.1","410.479","24.684","348.683","334.774"
"3","20","9","348","293","17","4.1","580.654","28.947","488.647","470.224"
"3","20","10","348","365","19.2","3.1","705.548","35.546","576.417","554.822"
"3","20","11","303","415","21","4.6","741.049","36.026","604.242","581.587"
"3","20","12","258","427","21","4.6","710.447","35.474","580.883","559.12"
"3","20","13","298","334","21","3.6","629.351","35.152","515.205","495.85"
"3","20","14","161","346","21.1","3.9","484.879","31.611","403.438","387.843"
"3","20","15","79","272","21.2","4.1","321.678","27.76","271.979","260.261"
"3","20","16","72","138","21.3","4.6","164.118","23.942","139.227","130.827"
"3","20","17","16","42","19.9","5.1","43.033","19.741","37.051","30.796"
"3","20","18","0","0","18.6","4.1","0","18.6","0","0"
"3","20","19","0","0","17.2","4.1","0","17.2","0","0"
"3","20","20","0","0","16","4.1","0","16","0","0"
"3","20","21","0","0","15","2.1","0","15","0","0"
"3","20","22","0","0","14.6","1.5","0","14.6","0","0"
"3","20","23","0","0","14","1.5","0","14","0","0"
"3","21","0","0","0","14","1.5","0","14","0","0"
"3","21","1","0","0","13","1.5","0","13","0","0"
"3","21","2","0","0","13","1.5","0","13","0","0"
"3","21","3","0","0","12","1","0","12","0","0"
"3","21","4","0","0","12","1","0","12","0","0"
"3","21","5","0","0","12","1","0","12","0","0"
"3","21","6","101","37","12","0","50.579","10.298","40.891","34.561"
"3","21","7","379","137","14.2","0","282.718","23.697","230.212","219.602"
"3","21","8","684","116","15","1.5","539.518","29.687","443.938","427.029"
"3","21","9","638","196","16.2","3.6","717.348","31.991","594.072","571.808"
"3","21","10","493","324","17.5","3.1","803.156","36.417","653.269","628.682"
"3","21","11","407","383","18.7","0","808.895","50.653","611.736","588.791"
"3","21","12","296","428","20","3.1","748.609","37.831","604.951","582.269"
"3","21","13","208","412","20","3.1","619.777","34.776","508.373","489.26"
"3","21","14","277","313","21","3.6","549.203","33.208","453.07","435.857"
"3","21","15","251","245","20.5","3.3","403.083","29.617","335.747","322.222"
"3","21","16","167","159","20.1","3.1","225.366","24.908","187.858","178.312"
"3","21","17","31","43","19.3","4.1","46.029","19.332","38.947","32.655"
"3","21","18","0","0","18.6","3.1","0","18.6","0","0"
"3","21","19","0","0","17.8","4.1","0","17.8","0","0"
"3","21","20","0","0","16","3.6","0","16","0","0"
"3","21","21","0","0","15","3.6","0","15","0","0"
"3","21","22","0","0","15.1","0.5","0","15.1","0","0"
"3","21","23","0","0","14.7","1.5","0","14.7","0","0"
"3","22","0","0","0","14.4","1","0","14.4","0","0"
"3","22","1","0","0","14","0.5","0","14","0","0"
"3","22","2","0","0","14","0.5","0","14","0","0"
"3","22","3","0","0","13","0.5","0","13","0","0"
"3","22","4","0","0","13.2","0.5","0","13.2","0","0"
"3","22","5","0","0","13.7","0","0","13.7","0","0"
