"PVWatts: Hourly PV Performance Data"
"Requested Location:","sau paolo"
"Location:","SAO PAULO/CONGONHAS, BRAZIL"
"Lat (deg S):","23.62"
"Long (deg W):","46.65"
"Elev (m):","803"
"DC System Size (kW):","1"
"Module Type:","Standard"
"Array Type:","Fixed (open rack)"
"Array Tilt (deg):","20"
"Array Azimuth (deg):","180"
"System Losses:","14"
"Invert Efficiency:","96"
"DC to AC Size Ratio:","1.1"
"Average Cost of Electricity Purchased from Utility ($/kWh):","No utility data available"
"Initial Cost","3.30"
"Cost of Electricity Generated by System ($/kWh):","not determined"

"Month","Day","Hour","Beam Irradiance (W/m^2)","Diffuse Irradiance (W/m^2)","Ambient Temperature (C)","Wind Speed (m/s)","Plane of Array Irradiance (W/m^2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"4","5","14","2","192","18.2","5.1","181.236","20.757","158.927","150.073"
"4","5","15","172","159","18","4.1","212.863","21.566","179.774","170.424"
"4","5","16","5","80","18","4.1","76.674","18.654","67.635","60.775"
"4","5","17","12","33","17.4","5.1","31.537","16.834","27.747","21.669"
"4","5","18","0","0","17","4.1","0","17","0","0"
"4","5","19","0","0","16","3.1","0","16","0","0"
"4","5","20","0","0","16.8","3.1","0","16.8","0","0"
"4","5","21","0","0","17","3.1","0","17","0","0"
"4","5","22","0","0","16","4.1","0","16","0","0"
"4","5","23","0","0","16.6","3.1","0","16.6","0","0"
"4","6","0","0","0","16","3.1","0","16","0","0"
"4","6","1","0","0","16","3.1","0","16","0","0"
"4","6","2","0","0","14.6","3.1","0","14.6","0","0"
"4","6","3","0","0","14","2.1","0","14","0","0"
"4","6","4","0","0","14","3.1","0","14","0","0"
"4","6","5","0","0","13.6","3.1","0","13.6","0","0"
"4","6","6","190","13","14","3.1","14.995","12.715","10.063","4.314"
"4","6","7","644","44","15","1.5","153.748","17.502","100.457","92.912"
"4","6","8","782","57","16.4","3.1","322.298","22.852","247.089","236.039"
"4","6","9","812","91","18","3.1","475.543","28.463","381.814","366.897"
"4","6","10","878","109","20","3.1","610.148","33.913","489.186","470.745"
"4","6","11","886","109","21","3.1","662.95","36.414","529.6","509.73"
"4","6","12","831","155","23","2.1","671.929","40.707","526.45","506.693"
"4","6","13","902","130","23","2.1","661.254","40.468","515.288","495.93"
"4","6","14","605","150","23","2.6","445.142","34.205","353.423","339.373"
"4","6","15","354","169","23","4.1","289.617","28.806","231.967","221.313"
"4","6","16","585","78","22","4.1","203.781","25.638","143.809","135.305"
"4","6","17","228","24","20.9","3.6","32.146","20.618","20.85","14.902"
