"PVWatts: Hourly PV Performance Data"
"Requested Location:","istanbul"
"Location:","ISTANBUL, TURKEY"
"Lat (deg N):","40.97"
"Long (deg E):","28.82"
"Elev (m):","37"
"DC System Size (kW):","1"
"Module Type:","Standard"
"Array Type:","Fixed (open rack)"
"Array Tilt (deg):","20"
"Array Azimuth (deg):","180"
"System Losses:","14"
"Invert Efficiency:","96"
"DC to AC Size Ratio:","1.1"
"Average Cost of Electricity Purchased from Utility ($/kWh):","0.10"
"Initial Cost","3.30"
"Cost of Electricity Generated by System ($/kWh):","0.22"

"Month","Day","Hour","Beam Irradiance (W/m^2)","Diffuse Irradiance (W/m^2)","Ambient Temperature (C)","Wind Speed (m/s)","Plane of Array Irradiance (W/m^2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"10","3","19","0","0","18","0","0","18","0","0"
"10","3","20","0","0","18","0","0","18","0","0"
"10","3","21","0","0","17","1.5","0","17","0","0"
"10","3","22","0","0","16.2","2.1","0","16.2","0","0"
"10","3","23","0","0","16","2","0","16","0","0"
"10","4","0","0","0","16.5","2","0","16.5","0","0"
"10","4","1","0","0","17","2","0","17","0","0"
"10","4","2","0","0","17","2","0","17","0","0"
"10","4","3","0","0","16","2","0","16","0","0"
"10","4","4","0","0","16","2","0","16","0","0"
"10","4","5","0","0","16","1.5","0","16","0","0"
"10","4","6","0","8","16.4","2.3","7.566","14.752","6.821","1.131"
"10","4","7","0","55","16.8","3.1","52.22","16.413","46.722","40.279"
"10","4","8","0","129","17","4.6","125.121","18.28","111.003","103.231"
"10","4","9","7","204","17","6.1","205.665","19.594","181.321","171.934"
"10","4","10","12","270","19.2","6.2","278.329","23.157","241.412","230.511"
"10","4","11","16","292","20","5.1","305.072","25.101","262.222","250.768"
"10","4","12","16","289","20","4.1","301.892","25.765","258.677","247.319"
"10","4","13","14","259","20.8","5.1","268.455","25.243","230.57","219.952"
"10","4","14","5","207","20","3.6","207.659","23.837","179.523","170.18"
"10","4","15","1","133","21","7.7","130.262","22.226","113.464","105.638"
"10","4","16","0","53","20","5.1","50.546","19.934","44.504","38.105"
"10","4","17","0","5","19","7.7","4.727","18.141","4.196","0"
"10","4","18","0","0","19","8.2","0","19","0","0"
"10","4","19","0","0","18.7","8.7","0","18.7","0","0"
"10","4","20","0","0","18","8.7","0","18","0","0"
"10","4","21","0","0","18","8.2","0","18","0","0"
"10","4","22","0","0","18.4","6.7","0","18.4","0","0"
"10","4","23","0","0","18","8.2","0","18","0","0"
"10","5","0","0","0","17","8.2","0","17","0","0"
"10","5","1","0","0","17","7.2","0","17","0","0"
"10","5","2","0","0","17","8.2","0","17","0","0"
"10","5","3","0","0","17","9.2","0","17","0","0"
"10","5","4","0","0","16","7.2","0","16","0","0"
"10","5","5","0","0","16","7.7","0","16","0","0"
"10","5","6","0","12","16","8.2","11.359","15.197","10.219","4.467"
"10","5","7","26","91","16.6","6.2","100.719","17.2","88.718","81.422"
"10","5","8","19","185","18","7.7","194.386","20.058","170.713","161.581"
"10","5","9","33","238","18","8.2","269.518","21.157","235.759","225.006"
"10","5","10","8","272","17.8","8.7","277.27","21.004","242.913","231.973"
"10","5","11","32","281","17","8.2","319.747","20.951","280.183","268.24"
"10","5","12","31","278","17","7.4","315.374","21.201","276.029","264.201"
"10","5","13","29","249","17","6.6","280.247","20.936","245.535","234.526"
"10","5","14","22","212","16.5","7.9","224.941","19.129","198.603","188.794"
"10","5","15","13","145","16","9.2","149.131","17.293","132.607","124.356"
"10","5","16","0","62","16","7.7","59.732","16.035","53.534","46.956"
"10","5","17","0","6","15","7.2","5.673","14.08","5.13","0"
"10","5","18","0","0","15","7.2","0","15","0","0"
"10","5","19","0","0","14","5.1","0","14","0","0"
"10","5","20","0","0","14","5.1","0","14","0","0"
"10","5","21","0","0","15","5.1","0","15","0","0"
"10","5","22","0","0","14.2","7.7","0","14.2","0","0"
"10","5","23","0","0","14","5.1","0","14","0","0"
"10","6","0","0","0","13","5.1","0","13","0","0"
"10","6","1","0","0","13.8","3.6","0","13.8","0","0"
"10","6","2","0","0","14","3.6","0","14","0","0"
"10","6","3","0","0","14","3","0","14","0","0"
"10","6","4","0","0","14.2","3.6","0","14.2","0","0"
"10","6","5","0","0","14","7.2","0","14","0","0"
"10","6","6","0","7","14","4.1","6.619","12.608","6.024","0.35"
"10","6","7","0","53","14","2.5","50.314","13.461","45.616","39.195"
"10","6","8","0","128","14","6.6","124.291","14.989","111.92","104.128"
"10","6","9","3","205","15","3","204.103","18.591","180.796","171.422"
"10","6","10","8","270","15","5.1","275.368","19.343","243.095","232.15"
"10","6","11","16","289","14","5.1","302.282","18.968","267.315","255.724"
"10","6","12","31","275","14.5","5.1","312.264","19.71","275.187","263.382"
"10","6","13","28","247","15","5.1","277.424","19.557","244.606","233.622"
"10","6","14","5","202","15","5.1","202.808","18.054","180.066","170.709"
"10","6","15","0","129","15","6.1","125.922","16.273","112.735","104.925"
"10","6","16","0","49","15","5.1","46.656","14.773","42.052","35.7"
"10","6","17","0","4","15","4.1","3.78","13.649","3.425","0"
"10","6","18","0","0","15","6.6","0","15","0","0"
"10","6","19","0","0","14.8","4.6","0","14.8","0","0"
"10","6","20","0","0","15","3.6","0","15","0","0"
"10","6","21","0","0","15","2.5","0","15","0","0"
"10","6","22","0","0","14.3","2.6","0","14.3","0","0"
"10","6","23","0","0","13","2.5","0","13","0","0"
"10","7","0","0","0","12.4","2.5","0","12.4","0","0"
"10","7","1","0","0","11.8","2.6","0","11.8","0","0"
"10","7","2","0","0","11.4","1.8","0","11.4","0","0"
"10","7","3","0","0","11","1","0","11","0","0"
"10","7","4","0","0","11","3","0","11","0","0"
"10","7","5","0","0","11","2","0","11","0","0"
"10","7","6","0","17","10","3","16.109","8.578","14.923","9.085"
"10","7","7","113","101","12.2","1","146.332","14.655","127.192","119.064"
"10","7","8","283","171","17","2.5","345.811","24.481","293.047","280.748"
"10","7","9","385","221","18","3.6","523.834","29.079","439.379","422.621"
"10","7","10","446","251","19","2.1","664.936","36.231","540.691","520.419"
"10","7","11","524","243","20","3","753.375","37.791","608.419","585.603"
"10","7","12","563","227","21","4.6","765.92","36.609","622.099","598.749"
"10","7","13","623","167","21","3","711.081","38.044","572.31","550.87"
"10","7","14","408","200","21","2.5","509.983","34.084","416.53","400.516"
"10","7","15","213","161","21","3.6","279.526","27","233.403","222.711"
"10","7","16","35","77","20.4","2.1","88.412","21.911","75.48","68.459"
"10","7","17","0","8","18","3","7.569","16.758","6.762","1.074"
"10","7","18","0","0","17","3.6","0","17","0","0"
"10","7","19","0","0","16","3","0","16","0","0"
"10","7","20","0","0","16","2.5","0","16","0","0"
"10","7","21","0","0","16","2.5","0","16","0","0"
"10","7","22","0","0","15","2.6","0","15","0","0"
"10","7","23","0","0","14","2","0","14","0","0"
"10","8","0","0","0","13.9","2.3","0","13.9","0","0"
"10","8","1","0","0","13.8","2.6","0","13.8","0","0"
"10","8","2","0","0","14","1.5","0","14","0","0"
"10","8","3","0","0","14","2","0","14","0","0"
"10","8","4","0","0","14","3","0","14","0","0"
"10","8","5","0","0","13","2.5","0","13","0","0"
"10","8","6","0","15","14","1.5","14.209","12.239","12.952","7.151"
"10","8","7","87","94","14.6","1","129.571","16.529","112.207","104.409"
"10","8","8","274","171","19","0","340.599","31.37","279.347","267.427"
"10","8","9","473","201","20","1.5","573.84","35.736","465.602","447.968"
"10","8","10","712","148","21","2.6","778.745","39.94","621.133","597.821"
"10","8","11","728","153","23","2.5","839.668","44.062","656.669","631.945"
"10","8","12","680","171","23","2","810.965","44.922","631.337","607.624"
"10","8","13","573","194","23.4","1.5","693.524","43.877","541.915","521.599"
"10","8","14","509","167","24","1","542.302","41.759","425.549","409.244"
"10","8","15","356","136","24","0","329.657","39.019","257.249","245.929"
"10","8","16","96","80","23","1.5","112.823","25.728","92.19","84.822"
"10","8","17","0","8","22","1","7.57","20.628","6.644","0.958"
"10","8","18","0","0","21","0","0","21","0","0"
"10","8","19","0","0","19.8","0","0","19.8","0","0"
"10","8","20","0","0","20","1.5","0","20","0","0"
"10","8","21","0","0","19","1.5","0","19","0","0"
"10","8","22","0","0","19","1","0","19","0","0"
"10","8","23","0","0","19","0","0","19","0","0"
"10","9","0","0","0","18","2","0","18","0","0"
"10","9","1","0","0","19","2","0","19","0","0"
"10","9","2","0","0","18","3.6","0","18","0","0"
"10","9","3","0","0","19","4.6","0","19","0","0"
"10","9","4","0","0","19","4.6","0","19","0","0"
"10","9","5","0","0","18","1.5","0","18","0","0"
"10","9","6","0","15","17","2.5","14.209","15.592","12.76","6.962"
"10","9","7","129","92","18","3","142.129","19.838","119.825","111.86"
"10","9","8","241","173","20","2.5","324.319","26.941","272.017","260.299"
"10","9","9","321","222","21","4.1","477.778","30.567","398.017","382.593"
"10","9","10","302","284","21","3.6","569.748","33.354","470.04","452.256"
"10","9","11","366","289","22","5.1","649.996","34.211","534.383","514.34"
"10","9","12","406","274","22","5.1","665.063","34.624","545.561","525.112"
"10","9","13","408","248","22.2","4.1","607.27","35.161","496.079","477.397"
"10","9","14","337","202","22","3.6","453.27","32.068","373.95","359.276"
"10","9","15","171","160","23","3.6","256.483","28.375","213.181","203.006"
"10","9","16","14","74","22","2.5","77.076","23.067","66.217","59.385"
"10","9","17","0","6","20","2.5","5.674","18.66","5.025","0"
"10","9","18","0","0","19","3","0","19","0","0"
"10","9","19","0","0","19","1","0","19","0","0"
"10","9","20","0","0","19","1","0","19","0","0"
"10","9","21","0","0","18","1","0","18","0","0"
"10","9","22","0","0","18.6","0","0","18.6","0","0"
"10","9","23","0","0","18","1.5","0","18","0","0"
"10","10","0","0","0","17","0","0","17","0","0"
"10","10","1","0","0","17","0","0","17","0","0"
"10","10","2","0","0","17","2.5","0","17","0","0"
"10","10","3","0","0","18","0","0","18","0","0"
"10","10","4","0","0","17.2","1.5","0","17.2","0","0"
"10","10","5","0","0","16","2","0","16","0","0"
"10","10","6","0","12","16","2","11.361","14.366","10.258","4.506"
"10","10","7","22","82","18","1.5","90.359","18.655","79.101","72.006"
"10","10","8","29","177","21","2","192.504","24.733","165.227","156.224"
"10","10","9","18","262","22","3","276.769","27.573","235.02","224.286"
"10","10","10","33","298","21.8","2.1","327.297","29.622","275.28","263.472"
"10","10","11","87","328","19","5.1","422.901","26.439","361.128","346.845"
"10","10","12","126","334","19","5.1","474.754","27.589","403.145","387.559"
"10","10","13","175","297","21","3","463.289","31.647","385.424","370.395"
"10","10","14","129","235","22","5.1","340.258","28.103","287.191","275.055"
"10","10","15","66","152","21","5.1","189.394","23.98","162.101","153.172"
"10","10","16","0","58","20.3","5.1","56.253","20.445","49.413","42.917"
"10","10","17","0","4","19","5.1","3.781","17.888","3.36","0"
"10","10","18","0","0","18","5.1","0","18","0","0"
"10","10","19","0","0","17.8","3.6","0","17.8","0","0"
"10","10","20","0","0","17","4.1","0","17","0","0"
"10","10","21","0","0","17","3.6","0","17","0","0"
"10","10","22","0","0","16.9","2.6","0","16.9","0","0"
"10","10","23","0","0","16","2.5","0","16","0","0"
"10","11","0","0","0","15","2.5","0","15","0","0"
"10","11","1","0","0","15","3.6","0","15","0","0"
"10","11","2","0","0","15","3","0","15","0","0"
"10","11","3","0","0","14.5","2.7","0","14.5","0","0"
"10","11","4","0","0","14","2.5","0","14","0","0"
"10","11","5","0","0","14","3.6","0","14","0","0"
"10","11","6","0","14","14","5.1","13.26","12.91","12.052","6.267"
"10","11","7","102","94","14.6","3.6","135.211","16.13","116.768","108.87"
"10","11","8","297","162","18","4.1","342.655","24.285","290.137","277.918"
"10","11","9","451","197","20","6.1","551.27","28.939","462.209","444.69"
"10","11","10","576","197","21","5.1","710.118","34.321","582.527","560.702"
"10","11","11","513","238","21.5","4.6","732.959","36.374","596.017","573.679"
"10","11","12","398","278","22","4.1","660.603","36.21","537.627","517.467"
"10","11","13","301","268","23","4.1","541.659","34.571","443.897","426.99"
"10","11","14","262","225","22","5.1","426.646","29.888","356.088","341.957"
"10","11","15","189","155","21","6.1","259.328","24.974","218.533","208.223"
"10","11","16","45","70","19","7.2","84.231","19.581","72.059","65.109"
"10","11","17","0","5","18","5.1","4.727","16.935","4.22","0"
"10","11","18","0","0","18","5.1","0","18","0","0"
"10","11","19","0","0","17.4","5.1","0","17.4","0","0"
"10","11","20","0","0","17","5.1","0","17","0","0"
"10","11","21","0","0","17","4.1","0","17","0","0"
"10","11","22","0","0","16.2","3.1","0","16.2","0","0"
"10","11","23","0","0","16","3","0","16","0","0"
"10","12","0","0","0","15","2","0","15","0","0"
"10","12","1","0","0","14.4","2.1","0","14.4","0","0"
"10","12","2","0","0","15","3","0","15","0","0"
"10","12","3","0","0","15","2.5","0","15","0","0"
"10","12","4","0","0","15","3.6","0","15","0","0"
"10","12","5","0","0","15","3.6","0","15","0","0"
"10","12","6","0","9","16","4.1","8.515","14.682","7.678","1.974"
"10","12","7","0","71","16","3","68.922","16.003","61.779","55.038"
"10","12","8","10","153","19","5.1","156.738","20.88","137.214","128.859"
"10","12","9","22","212","19.5","6.1","226.202","22.528","196.635","186.874"
"10","12","10","28","244","20","7.2","265.558","23.431","229.989","219.386"
"10","12","11","100","317","20","9.2","422.172","25.079","362.797","348.464"
"10","12","12","240","312","21","7.9","549.033","28.66","463.681","446.112"
"10","12","13","398","250","22","6.6","598.254","31.562","497.277","478.554"
"10","12","14","161","225","21","4.1","350.315","28.4","294.938","282.586"
"10","12","15","14","132","20","5.4","137.139","21.888","119.32","111.366"
"10","12","16","0","30","19","6.6","28.439","18.551","25.199","19.169"
"10","12","17","0","2","19","6.6","1.889","17.981","1.678","0"
"10","12","18","0","0","18","6.1","0","18","0","0"
"10","12","19","0","0","17","5.1","0","17","0","0"
"10","12","20","0","0","17.5","4.1","0","17.5","0","0"
"10","12","21","0","0","18","3","0","18","0","0"
"10","12","22","0","0","17.3","3.1","0","17.3","0","0"
"10","12","23","0","0","17.1","2.8","0","17.1","0","0"
"10","13","0","0","0","17","2.5","0","17","0","0"
"10","13","1","0","0","17.3","2.6","0","17.3","0","0"
"10","13","2","0","0","17","1","0","17","0","0"
"10","13","3","0","0","17","2","0","17","0","0"
"10","13","4","0","0","17","5.1","0","17","0","0"
"10","13","5","0","0","17","4.6","0","17","0","0"
"10","13","6","0","6","17","4.1","5.673","15.631","5.094","0"
