"PVWatts: Hourly PV Performance Data"
"Requested Location:","stockholm"
"Location:","STOCKHOLM/ARLANDA, SWEDEN"
"Lat (deg N):","59.65"
"Long (deg E):","17.95"
"Elev (m):","61"
"DC System Size (kW):","1"
"Module Type:","Standard"
"Array Type:","Fixed (open rack)"
"Array Tilt (deg):","20"
"Array Azimuth (deg):","180"
"System Losses:","14"
"Invert Efficiency:","96"
"DC to AC Size Ratio:","1.1"
"Average Cost of Electricity Purchased from Utility ($/kWh):","No utility data available"
"Initial Cost","3.30"
"Cost of Electricity Generated by System ($/kWh):","not determined"

"Month","Day","Hour","Beam Irradiance (W/m^2)","Diffuse Irradiance (W/m^2)","Ambient Temperature (C)","Wind Speed (m/s)","Plane of Array Irradiance (W/m^2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"8","2","5","0","51","14.8","3.6","48.152","14.317","43.49","37.109"
"8","2","6","3","114","15.9","4.1","108.897","16.879","97.085","89.613"
"8","2","7","218","190","17.4","5","297.752","22.106","254.224","242.985"
"8","2","8","430","211","18.9","5.8","511.941","27.337","431.027","414.543"
"8","2","9","584","197","20.4","6.7","683.536","31.212","568.505","547.208"
"8","2","10","620","195","20.8","6.5","776.498","33.577","640.081","616.022"
"8","2","11","364","326","21.1","6.4","697.304","32.779","577.546","555.909"
"8","2","12","87","327","21.5","6.2","418.089","28.518","353.556","339.501"
"8","2","13","13","296","21.2","5.7","303.613","26.151","259.674","248.289"
"8","2","14","3","205","20.9","5.1","201.21","24.048","173.801","164.594"
"8","2","15","0","111","20.6","4.6","105.775","21.814","92.329","84.957"
"8","2","16","0","78","20.3","4.1","73.98","20.713","64.905","58.1"
"8","2","17","0","45","20","3.6","42.607","19.639","37.565","31.3"
"8","2","18","0","19","19.7","3.1","17.956","18.642","15.904","10.048"
"8","2","19","0","4","19.2","3.1","3.773","17.725","3.356","0"
"8","2","20","0","0","18.6","3.1","0","18.6","0","0"
"8","2","21","0","0","18.1","3.1","0","18.1","0","0"
"8","2","22","0","0","17.4","2.9","0","17.4","0","0"
"8","2","23","0","0","16.7","2.8","0","16.7","0","0"
"8","3","0","0","0","16","2.6","0","16","0","0"
"8","3","1","0","0","15.8","2.4","0","15.8","0","0"
"8","3","2","0","0","15.5","2.3","0","15.5","0","0"
"8","3","3","0","1","15.3","2.1","0.97","13.37","0.88","0"
"8","3","4","0","19","15.7","2.3","17.974","14.296","16.236","10.373"
"8","3","5","51","73","16.1","2.4","73.043","16.229","62.728","55.967"
"8","3","6","179","132","16.5","2.6","182.357","19.581","152.476","143.772"
"8","3","7","318","169","17.3","2.8","329.193","24.215","276.39","264.551"
"8","3","8","387","207","18.2","2.9","478.991","28.99","400.226","384.732"
"8","3","9","383","260","19","3.1","582.594","32.304","482.391","464.184"
"8","3","10","362","299","20","3.8","646.441","34.008","531.932","511.978"
"8","3","11","315","329","20.9","4.4","654.951","34.431","538.105","517.927"
"8","3","12","196","382","21.9","5.1","591.079","33.117","488.806","470.378"
"8","3","13","260","309","22","4.6","563.26","33.251","465.204","447.584"
"8","3","14","239","276","22","4.1","479.952","32.084","397.917","382.496"
"8","3","15","133","267","22.1","3.6","357.593","29.777","299.001","286.534"
"8","3","16","166","204","21.5","4.6","279.141","26.562","233.682","222.983"
"8","3","17","107","137","20.8","5.7","159.559","22.936","133.217","124.953"
"8","3","18","33","65","20.2","6.7","61.654","20.348","52.761","46.199"
"8","3","19","0","14","19.2","6.4","13.239","18.398","11.739","5.96"
"8","3","20","0","0","18.3","6","0","18.3","0","0"
"8","3","21","0","0","17.3","5.7","0","17.3","0","0"
"8","3","22","0","0","17.5","5.5","0","17.5","0","0"
"8","3","23","0","0","17.8","5.3","0","17.8","0","0"
"8","4","0","0","0","18","5.1","0","18","0","0"
"8","4","1","0","0","17.6","4.6","0","17.6","0","0"
"8","4","2","0","0","17.1","4.1","0","17.1","0","0"
"8","4","3","0","0","16.7","3.6","0","16.7","0","0"
"8","4","4","0","10","16.9","3.3","9.444","15.492","8.485","2.765"
"8","4","5","0","66","17.2","2.9","61.458","17.043","54.831","48.228"
"8","4","6","159","123","17.4","2.6","167.312","20.079","139.777","131.365"
"8","4","7","301","179","17.9","3.3","330.481","24.449","277.544","265.674"
"8","4","8","470","191","18.5","3.9","516.102","29.081","430.442","413.978"
"8","4","9","578","196","19","4.6","675.979","32.372","558.99","538.046"
"8","4","10","647","188","19.7","4.4","790.907","36.076","643.917","619.705"
"8","4","11","680","181","20.3","4.3","845.817","38.208","681.837","656.086"
"8","4","12","668","185","21","4.1","835.522","39.079","670.561","645.273"
"8","4","13","647","178","21.4","4.3","769.998","37.819","621.267","597.951"
"8","4","14","568","188","21.8","4.4","645.282","35.366","525.288","505.573"
"8","4","15","475","177","22.2","4.6","488.99","32.048","400.779","385.269"
"8","4","16","325","161","21.2","3.9","311.263","27.666","255.241","243.975"
"8","4","17","135","128","20.2","3.3","158.318","23.121","130.591","122.386"
"8","4","18","14","64","19.2","2.6","59.866","19.47","52.233","45.681"
"8","4","19","0","13","18.3","4","12.292","17.212","10.958","5.193"
"8","4","20","0","0","17.5","5.3","0","17.5","0","0"
"8","4","21","0","0","16.6","6.7","0","16.6","0","0"
"8","4","22","0","0","16.3","5.3","0","16.3","0","0"
"8","4","23","0","0","15.9","4","0","15.9","0","0"
"8","5","0","0","0","15.6","2.6","0","15.6","0","0"
"8","5","1","0","0","15.3","2.9","0","15.3","0","0"
"8","5","2","0","0","15.1","3.3","0","15.1","0","0"
"8","5","3","0","0","14.8","3.6","0","14.8","0","0"
"8","5","4","0","18","15.2","3.8","17.029","14.002","15.402","9.555"
"8","5","5","47","73","15.6","3.9","72.148","15.7","62.326","55.574"
"8","5","6","163","138","16","4.1","182.477","18.645","153.897","145.159"
"8","5","7","330","169","17","5","333.933","22.53","282.251","270.251"
"8","5","8","409","202","17.9","5.8","486.964","25.927","412.591","396.704"
"8","5","9","414","239","18.9","6.7","592.241","28.163","500.112","481.29"
"8","5","10","484","250","19.2","6","709.729","31.321","591.564","569.395"
"8","5","11","535","248","19.5","5.3","779.492","34.047","641.519","617.402"
"8","5","12","605","207","19.8","4.6","800.269","36.14","651.774","627.247"
"8","5","13","419","273","19.6","5.1","670.091","32.536","555.162","534.36"
"8","5","14","217","286","19.4","5.7","464.935","27.598","393.904","378.609"
"8","5","15","79","204","19.2","6.2","252.072","23.028","217.765","207.475"
"8","5","16","4","142","18.6","4.8","137.711","20.475","120.833","112.846"
"8","5","17","0","63","18.1","3.5","59.703","18.244","52.975","46.409"
"8","5","18","0","17","17.5","2.1","16.063","16.246","14.382","8.555"
"8","5","19","0","3","17.2","2.4","2.829","15.504","2.542","0"
"8","5","20","0","0","16.8","2.8","0","16.8","0","0"
"8","5","21","0","0","16.5","3.1","0","16.5","0","0"
"8","5","22","0","0","16.7","3.1","0","16.7","0","0"
"8","5","23","0","0","16.9","3.1","0","16.9","0","0"
"8","6","0","0","0","17.1","3.1","0","17.1","0","0"
"8","6","1","0","0","16.7","2.8","0","16.7","0","0"
"8","6","2","0","0","16.4","2.4","0","16.4","0","0"
"8","6","3","0","0","16","2.1","0","16","0","0"
